ANO_ELEICAO,NUM_TURNO,SIGLA_UE,DESCRICAO_CARGO,APTOS,COMPARECIMENTO
2002,1,AM,DEPUTADO FEDERAL,1523155,1191235
2002,1,AM,GOVERNADOR,1523155,1191238
2002,1,AM,SENADOR,3046310,2382476
2002,1,AP,DEPUTADO ESTADUAL,290101,247841
2002,1,AP,DEPUTADO FEDERAL,290101,247841
2002,1,AP,GOVERNADOR,290101,247842
2002,1,AP,SENADOR,580202,495684
2002,1,BA,DEPUTADO ESTADUAL,8567328,6399302
2002,1,BA,DEPUTADO FEDERAL,8567328,6399302
2002,1,BA,GOVERNADOR,8567328,6399312
2002,1,BA,SENADOR,17134656,12798624
2002,1,CE,DEPUTADO ESTADUAL,4805259,3860129
2002,1,CE,DEPUTADO FEDERAL,4805259,3860129
2002,1,CE,GOVERNADOR,4805259,3860135
2002,1,CE,SENADOR,9610518,7720270
2002,1,DF,DEPUTADO DISTRITAL,1517093,1283373
2002,1,DF,DEPUTADO FEDERAL,1517093,1283373
2002,1,DF,GOVERNADOR,1516598,1282964
2002,1,DF,SENADOR,3033196,2565928
2002,1,ES,DEPUTADO ESTADUAL,2146425,1768049
2002,1,ES,DEPUTADO FEDERAL,2146425,1768049
2002,1,ES,GOVERNADOR,2146425,1768049
2002,1,ES,SENADOR,4292850,3536098
2002,1,GO,DEPUTADO ESTADUAL,3365848,2792801
2002,1,GO,DEPUTADO FEDERAL,3365848,2792801
2002,1,GO,GOVERNADOR,3365848,2792801
2002,1,GO,SENADOR,6731696,5585602
2002,1,MA,DEPUTADO ESTADUAL,3388659,2576602
2002,1,MA,DEPUTADO FEDERAL,3388659,2576602
2002,1,MA,GOVERNADOR,3388659,2576615
2002,1,MA,SENADOR,6777318,5153230
2002,1,MG,DEPUTADO ESTADUAL,12680350,10513897
2002,1,MG,DEPUTADO FEDERAL,12680350,10513897
2002,1,MG,GOVERNADOR,12680350,10513889
2002,1,MG,SENADOR,25360700,21027778
2002,1,MS,DEPUTADO ESTADUAL,1411773,1157515
2002,1,MS,DEPUTADO FEDERAL,1411773,1157515
2002,1,MS,GOVERNADOR,1411773,1157516
2002,1,MS,SENADOR,2823546,2315032
2002,1,MT,DEPUTADO ESTADUAL,1730022,1346620
2002,1,MT,DEPUTADO FEDERAL,1730022,1346620
2002,1,MT,GOVERNADOR,1730022,1346646
2002,1,MT,SENADOR,3460044,2693292
